20:29:19 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/|
20:33:41 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:39:45 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:39:47 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:39:48 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:40:12 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:43:02 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/|
20:43:07 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:43:25 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:44:07 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:44:46 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:55:41 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:55:56 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/history|
20:56:05 16.12.2018|Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0|127.0.0.1|localhost:8000/|
